,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
OGA,5.113134444340146,5.49610498736032,5.684130894948838,5.946415571111106,5.673936191943581
OGDH,4.824588293861845,4.678354949134496,4.6728069749170835,4.609688609919683,5.102097970824273
OGDHL,0.0,0.0,0.03989605638645116,0.044005234777390975,1.0304759055617168
OGFOD1,3.818448004915847,3.3418446774614172,3.694315912334104,4.305172962997172,3.879352566307829
OGFOD2,2.7944866623162268,2.640030712117055,2.7664317810899814,2.8265490433707376,3.3120537806027763
OGFOD3,4.541942873288367,3.3529166425798924,3.9874182347147333,4.460384955566504,4.105589005876271
OGFR,5.705974294994357,5.997281187361334,5.652311245810915,5.012302153521571,4.6106524683279515
OGFR-AS1,0.5341999884465196,0.2094188879792804,0.11652347988531384,0.0971888938657805,0.05020547855928063
OGFRL1,5.880733345577671,6.345153230815663,6.068622309936605,3.917219122774615,2.6598622389245525
OGFRP1,0.0,0.0,0.0,0.02217039241817201,0.1811408740196851
OGG1,2.5949217490370913,3.005401167695676,2.836066814303387,3.8381954004806045,3.023200924896816
OGN,0.0,0.10850596886558207,0.07871845775781273,4.457845578850051,0.03366368862284041
OGT,4.582984575390407,5.055712751193111,5.307819872106947,5.269663490360645,5.030436704257817
OIP5,0.2916854154205314,0.5545074244141329,1.3930349215977973,0.37209911453221334,2.4587423061723856
OIT3,0.0,0.0,0.07871845775781273,1.6315034033521971,0.10401383191737673
OLA1,5.301145362343902,5.105660764280602,5.5558553690278565,5.335050421163198,5.7601482784752855
OLAH,0.15320183964568132,0.2094188879792804,0.22433487668244584,0.08670785186945702,0.08808099582852193
OLFM1,0.7417546142468083,2.016616187430514,0.9659517208025648,4.500912078174511,2.597451742090781
OLFM2,1.838668920149112,0.10850596886558207,1.0464985414583525,5.309926175769257,0.5385297925469414
OLFM3,0.0,0.0,0.0,0.565662411905075,0.016930030188497116
OLFM4,2.7228455059512364,3.1393251542069938,2.9078949940710843,2.6930003516264103,10.557288683843831
OLFML1,0.0,0.0,0.15336308674825527,5.052240675293423,0.055677527242008584
OLFML2A,0.2916854154205314,0.3922566758905808,0.5346952216651221,5.954003824503884,0.2919317000785269
OLFML2B,5.168113856699577,2.744616751193168,3.145861905275192,5.656029054209125,0.3149307921603257
OLFML3,2.6730287304328164,0.4756617630180751,1.4533673594533594,6.082367815162829,0.5346163183427848
OLIG1,0.7417546142468083,3.8824051952515464,0.4483901806822429,0.02217039241817201,0.028107340363770633
OLIG2,0.0,2.223801138802101,0.11652347988531384,0.02217039241817201,0.005665446977909845
OLIG3,0.0,0.0,0.0,0.0,0.0
OLMALINC,1.6455447851391993,0.7680789913890524,1.423516499778818,1.9034344855217595,2.7870278478524484
OLR1,5.517713165249773,7.779978174198537,6.34279758816623,0.6605874233194268,0.08273070707704679
OMA1,3.316548080916276,3.3418446774614172,3.5289398325027714,3.2830506812642546,3.8203005316724243
OMD,0.0,0.0,0.07871845775781273,0.795423200081187,0.016930030188497116
OMG,1.4225133734967126,0.3037323046627132,0.6932078117302021,0.565662411905075,0.07197023387152215
OMP,0.0,0.0,0.0,0.0,0.07197023387152215
ONECUT1,0.0,0.0,0.0,0.14848149083017906,0.016930030188497116
ONECUT2,0.0,0.0,0.0,0.07615010853404029,0.5267573779958072
ONECUT3,0.0,0.0,0.29197837950315925,0.29224865724437,0.32855628993254354
OOEP,0.15320183964568132,0.3922566758905808,0.3246468006686816,0.455927877915857,0.24958617215168966
OOEP-AS1,0.0,0.0,0.0,0.0,0.0
OOSP2,0.0,0.0,0.0,0.0,0.0
OPA1,4.4561814799627015,4.500597996135942,4.596271936888136,4.758249239639605,4.805324873331814
OPA1-AS1,0.0,0.0,0.03989605638645116,0.0,0.011308732808332805
OPA3,3.7114674116841835,4.337379368610804,4.424184536926899,4.2604105977956275,3.909130229652979
OPALIN,0.0,0.0,0.0,0.02217039241817201,0.005665446977909845
OPCML,0.15320183964568132,0.0,0.0,0.7429912177153019,0.022529509804773026
OPHN1,1.4815860083660357,0.8946998405412794,1.6466333791496301,2.8043325120166536,2.061883462032115
OPLAH,3.107413584962169,1.8071726737190046,2.1166079283032135,1.7917218779877266,3.865398951071871
OPN1LW,0.0,0.0,0.0,0.011127783298664777,0.0
OPN1MW,0.0,0.0,0.0,0.0,0.0
OPN1MW2,0.0,0.0,0.0,0.0,0.0
OPN1MW3,0.0,0.0,0.03989605638645116,0.0,0.0
OPN1SW,0.0,0.0,0.07871845775781273,0.044005234777390975,0.016930030188497116
OPN3,4.576224860055037,4.439587487413705,5.156118999750428,2.457055419054282,3.4410028855989845
OPN4,0.0,0.0,0.0,2.467191747953415,0.005665446977909845
OPN5,0.0,0.0,0.0,0.033129121339292356,0.005665446977909845
OPRD1,0.15320183964568132,0.10850596886558207,0.25855304108031446,0.1882417298774216,0.9475475199609024
OPRK1,0.0,0.0,0.07871845775781273,0.011127783298664777,0.005665446977909845
OPRL1,1.3609182973331027,1.8701793556884438,1.8843308591259906,0.6816338132150478,0.0
OPRM1,0.2916854154205314,0.0,0.03989605638645116,0.0,0.005665446977909845
OPRPN,0.0,0.0,0.0,0.0,0.005665446977909845
OPTC,0.0,0.0,0.0,0.044005234777390975,0.0
OPTN,4.824588293861845,4.354006703941484,3.930188140441685,6.802008847171165,5.794816065356316
OR10A2,0.0,0.0,0.07871845775781273,0.05479996905834087,0.03366368862284041
OR10A3,0.0,0.0,0.0,0.05479996905834087,0.028107340363770633
OR10A4,0.0,0.0,0.0,0.033129121339292356,0.011308732808332805
OR10A5,0.0,0.0,0.0,0.0,0.0
OR10A6,0.0,0.0,0.0,0.0,0.011308732808332805
OR10A7,0.0,0.0,0.0,0.0,0.0
OR10AD1,0.0,0.0,0.0,0.0,0.0
OR10AG1,0.0,0.0,0.0,0.0,0.011308732808332805
OR10C1,0.0,0.0,0.0,0.0,0.0
OR10D3,0.0,0.0,0.0,0.0,0.016930030188497116
OR10G2,0.0,0.0,0.0,0.0,0.0
OR10G3,0.15320183964568132,0.10850596886558207,0.22433487668244584,0.12818275792491216,0.09341151612268143
OR10G4,0.0,0.0,0.0,0.02217039241817201,0.055677527242008584
OR10G6,0.0,0.0,0.0,0.0,0.0
OR10G7,0.0,0.0,0.0,0.0,0.011308732808332805
OR10G8,0.0,0.0,0.0,0.0,0.0
OR10G9,0.0,0.0,0.0,0.0,0.0
OR10H1,0.0,0.3922566758905808,0.3565918276508423,0.14848149083017906,0.11453879974315888
OR10H2,0.0,0.0,0.0,0.0,0.005665446977909845
OR10H3,0.0,0.0,0.0,0.011127783298664777,0.0
OR10H4,0.0,0.0,0.0,0.0,0.0
OR10H5,0.0,0.2094188879792804,0.03989605638645116,0.0971888938657805,0.04471259570320563
OR10J1,0.0,0.0,0.11652347988531384,0.0,0.0
OR10J5,0.0,0.0,0.0,0.0,0.0
OR10K1,0.0,0.0,0.0,0.10759434095049275,0.028107340363770633
OR10K2,0.0,0.0,0.0,0.033129121339292356,0.005665446977909845
OR10P1,0.0,0.0,0.0,0.0,0.0
OR10Q1,0.0,0.0,0.0,0.0,0.0
OR10R2,0.0,0.0,0.0,0.0,0.0
OR10S1,0.0,0.0,0.0,0.0,0.0
OR10T2,0.0,0.0,0.0,0.0,0.0
OR10V1,0.0,0.0,0.0,0.0,0.0
OR10W1,0.0,0.0,0.0,0.0,0.0
OR10X1,0.0,0.0,0.0,0.0,0.0
OR10Z1,0.0,0.0,0.0,0.02217039241817201,0.016930030188497116
OR11A1,0.0,0.0,0.0,0.0,0.011308732808332805
OR11G2,0.15320183964568132,0.5545074244141329,0.41843508174328287,0.24590006923957464,0.11453879974315888
OR11H1,0.0,0.0,0.0,0.0,0.0
OR11H12,0.0,0.0,0.0,0.0,0.0
OR11H2,0.0,0.0,0.0,0.0,0.0
OR11H4,0.0,0.0,0.0,0.0,0.0
OR11H6,0.0,0.0,0.0,0.0,0.0
OR11L1,0.0,0.0,0.0,0.0,0.0
OR12D2,0.0,0.0,0.0,0.0,0.005665446977909845
OR12D3,0.0,0.0,0.0,0.0,0.0
OR13A1,0.0,0.0,0.22433487668244584,0.011127783298664777,0.028107340363770633
OR13C2,0.0,0.0,0.0,0.0,0.0
OR13C3,0.0,0.0,0.0,0.011127783298664777,0.0
OR13C4,0.0,0.0,0.0,0.0,0.005665446977909845
OR13C5,0.0,0.0,0.0,0.0,0.0
OR13C8,0.0,0.0,0.0,0.0,0.0
OR13C9,0.0,0.0,0.0,0.0,0.005665446977909845
OR13D1,0.0,0.0,0.0,0.0,0.0
OR13F1,0.0,0.0,0.0,0.0,0.0
OR13G1,0.0,0.0,0.03989605638645116,0.0,0.005665446977909845
OR13H1,0.0,0.0,0.0,0.0,0.0
OR13J1,0.0,0.0,0.0,0.0,0.005665446977909845
OR14A16,0.0,0.0,0.0,0.0,0.03919871941998551
OR14A2,0.0,0.0,0.0,0.0,0.0
OR14C36,0.0,0.0,0.0,0.0,0.0
OR14I1,0.0,0.0,0.0,0.0,0.011308732808332805
OR14J1,0.15320183964568132,0.0,0.03989605638645116,0.044005234777390975,0.028107340363770633
OR14K1,0.0,0.0,0.0,0.0,0.011308732808332805
OR1A1,0.0,0.0,0.25855304108031446,0.08670785186945702,0.055677527242008584
OR1A2,0.0,0.0,0.0,0.0,0.011308732808332805
OR1B1,0.0,0.0,0.0,0.0,0.0
OR1C1,0.0,0.10850596886558207,0.0,0.02217039241817201,0.0
OR1D2,0.0,0.10850596886558207,0.0,0.02217039241817201,0.028107340363770633
OR1D5,0.0,0.0,0.0,0.0,0.0
OR1E1,0.0,0.0,0.0,0.0,0.0
OR1E2,0.0,0.0,0.0,0.0,0.0
OR1F1,0.0,0.0,0.0,0.0,0.0
OR1G1,0.0,0.0,0.0,0.0,0.0
OR1I1,0.0,0.5545074244141329,0.29197837950315925,0.3892590734610265,0.1197726292442381
OR1J1,0.0,0.0,0.0,0.0,0.0
OR1J2,0.0,0.0,0.0,0.0,0.0
OR1J4,0.0,0.0,0.0,0.011127783298664777,0.0
OR1K1,0.0,0.0,0.0,0.0,0.0
OR1L1,0.0,0.0,0.0,0.011127783298664777,0.005665446977909845
OR1L3,0.0,0.0,0.0,0.011127783298664777,0.0
OR1L4,0.0,0.0,0.0,0.0,0.0
OR1L6,0.0,0.0,0.0,0.0,0.0
OR1L8,0.0,0.0,0.11652347988531384,0.033129121339292356,0.011308732808332805
OR1M1,0.0,0.0,0.0,0.0,0.0
OR1N1,0.0,0.0,0.0,0.011127783298664777,0.0
OR1N2,0.0,0.0,0.07871845775781273,0.033129121339292356,0.005665446977909845
