split,model,auc,brier
85,clinical_plus_myeloid,0.48571428571428565,0.2874171960530633
85,clinical_plus_barrier,0.34285714285714286,0.33630233028008266
85,clinical_plus_myeloid_barrier,0.4285714285714285,0.3027767690659285
86,clinical_Mayo_age,0.41428571428571426,0.27130864991226883
86,clinical_plus_myeloid,0.6857142857142858,0.2669623921093884
86,clinical_plus_barrier,0.5714285714285714,0.2507896463252192
86,clinical_plus_myeloid_barrier,0.6857142857142858,0.26491824636542444
87,clinical_Mayo_age,0.6666666666666666,0.2574119326831857
87,clinical_plus_myeloid,0.6111111111111112,0.28774753714985113
87,clinical_plus_barrier,0.6944444444444444,0.27209829423536164
87,clinical_plus_myeloid_barrier,0.6666666666666667,0.2962070354290633
88,clinical_Mayo_age,0.6666666666666667,0.25965217772667976
88,clinical_plus_myeloid,0.75,0.2631442197559477
88,clinical_plus_barrier,0.6666666666666667,0.23951980336902837
88,clinical_plus_myeloid_barrier,0.75,0.2665356944418785
89,clinical_Mayo_age,0.8333333333333334,0.22040632888630798
89,clinical_plus_myeloid,0.6666666666666666,0.22054131051650358
89,clinical_plus_barrier,0.7333333333333334,0.22332085741068647
89,clinical_plus_myeloid_barrier,0.7,0.21784159100602196
90,clinical_Mayo_age,0.6,0.24846344012710087
90,clinical_plus_myeloid,0.7142857142857142,0.23022247316753197
90,clinical_plus_barrier,0.6,0.25084902981508034
90,clinical_plus_myeloid_barrier,0.6285714285714286,0.23764745167157533
91,clinical_Mayo_age,0.48571428571428565,0.2600802199383962
91,clinical_plus_myeloid,0.6571428571428571,0.22203513675547717
91,clinical_plus_barrier,0.5142857142857142,0.2783857990206159
91,clinical_plus_myeloid_barrier,0.6857142857142858,0.2392057376972808
92,clinical_Mayo_age,0.6666666666666667,0.2305681367787208
92,clinical_plus_myeloid,0.7222222222222222,0.23897026015466027
92,clinical_plus_barrier,0.5833333333333334,0.21641766439052731
92,clinical_plus_myeloid_barrier,0.7222222222222222,0.2382630923752506
93,clinical_Mayo_age,0.6111111111111112,0.23772536962065557
93,clinical_plus_myeloid,0.75,0.19907836602359008
93,clinical_plus_barrier,0.611111111111111,0.23309545225643793
93,clinical_plus_myeloid_barrier,0.7222222222222222,0.20237502891617423
94,clinical_Mayo_age,0.5333333333333333,0.23552481344920784
94,clinical_plus_myeloid,0.6333333333333333,0.22856268795117488
94,clinical_plus_barrier,0.6666666666666666,0.21927216960708176
94,clinical_plus_myeloid_barrier,0.6333333333333333,0.22909877726607758
95,clinical_Mayo_age,0.7428571428571429,0.22521796008477635
95,clinical_plus_myeloid,0.6857142857142857,0.2627248971036133
95,clinical_plus_barrier,0.6285714285714287,0.253301746488644
95,clinical_plus_myeloid_barrier,0.6857142857142857,0.2720803524860303
96,clinical_Mayo_age,0.45714285714285713,0.26838166664221136
96,clinical_plus_myeloid,0.5714285714285714,0.2613747864223694
96,clinical_plus_barrier,0.4857142857142857,0.2748580969519511
96,clinical_plus_myeloid_barrier,0.5428571428571428,0.26694099450574066
97,clinical_Mayo_age,0.7222222222222222,0.23167368338647373
